Configuration,Fold,Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
Fold 1,1,1,0.41613587737083435,0.8285229206085205,2.201347827911377,0.9079299569129944
Fold 1,1,2,0.7583864331245422,0.8471986651420593,0.8679549098014832,0.5540213584899902
Fold 1,1,3,0.8590233325958252,0.8743633031845093,0.4976140558719635,0.4112895429134369
Fold 1,1,4,0.8955414295196533,0.8641765713691711,0.3437972068786621,0.41403961181640625
Fold 1,1,5,0.9278131723403931,0.8845500946044922,0.2549454867839813,0.3651565611362457
Fold 1,1,6,0.9401273727416992,0.8777589201927185,0.1913980394601822,0.3729066848754883
Fold 1,1,7,0.9596602916717529,0.8879456520080566,0.14365270733833313,0.3757728040218353
Fold 1,1,8,0.9639065861701965,0.8947368264198303,0.12112442404031754,0.33490675687789917
Fold 1,1,9,0.9711252450942993,0.8947368264198303,0.09674090147018433,0.3368668854236603
Fold 1,1,10,0.9817409515380859,0.8930390477180481,0.07757723331451416,0.3471144437789917
Fold 2,2,1,0.412314236164093,0.7877758741378784,2.2107551097869873,0.8999382853507996
Fold 2,2,2,0.771974503993988,0.8658743500709534,0.8043355941772461,0.5137578248977661
Fold 2,2,3,0.8518046736717224,0.8760611414909363,0.5021051168441772,0.412579208612442
Fold 2,2,4,0.8955414295196533,0.8947368264198303,0.3454771637916565,0.3677068054676056
Fold 2,2,5,0.925265371799469,0.8930390477180481,0.2503504157066345,0.3430544435977936
Fold 2,2,6,0.93715500831604,0.8930390477180481,0.19696448743343353,0.35993412137031555
Fold 2,2,7,0.9579617977142334,0.8964346647262573,0.14066621661186218,0.3310232162475586
Fold 2,2,8,0.9740976691246033,0.9032257795333862,0.10097824037075043,0.3306133449077606
Fold 2,2,9,0.9732484221458435,0.8981324434280396,0.10004785656929016,0.35468441247940063
Fold 2,2,10,0.9825902581214905,0.881154477596283,0.06440180540084839,0.43152788281440735
Additional Exercise,3,1,0.3970276117324829,0.8200339674949646,2.2976977825164795,0.883022129535675
Additional Exercise,3,2,0.7520169615745544,0.881154477596283,0.8925555348396301,0.47724270820617676
Additional Exercise,3,3,0.8411889672279358,0.8947368264198303,0.5554434657096863,0.36908838152885437
Additional Exercise,3,4,0.8878980875015259,0.8862478733062744,0.38880687952041626,0.3645445704460144
Additional Exercise,3,5,0.9218683838844299,0.8998302221298218,0.27641427516937256,0.2979270815849304
Additional Exercise,3,6,0.9316348433494568,0.9049236178398132,0.21405988931655884,0.2835424840450287
Additional Exercise,3,7,0.9473460912704468,0.9235993027687073,0.16758321225643158,0.2534206509590149
Additional Exercise,3,8,0.9600849151611328,0.9168081283569336,0.13453468680381775,0.275877982378006
Additional Exercise,3,9,0.9677282571792603,0.9083191752433777,0.10781478136777878,0.3027341961860657
Additional Exercise,3,10,0.977919340133667,0.9083191752433777,0.07710680365562439,0.2726627588272095
Additional Exercise,4,1,0.4322717487812042,0.8556876182556152,2.1613707542419434,0.8288502097129822
Additional Exercise,4,2,0.7626326680183411,0.8641765713691711,0.8221315741539001,0.5095875263214111
Additional Exercise,4,3,0.8454352617263794,0.8794566988945007,0.5274863243103027,0.3825185298919678
Additional Exercise,4,4,0.8887473344802856,0.8692699670791626,0.3571738600730896,0.36194944381713867
Additional Exercise,4,5,0.9295116662979126,0.9032257795333862,0.251697838306427,0.3010025918483734
Additional Exercise,4,6,0.9350318312644958,0.9100169539451599,0.20859679579734802,0.2978989779949188
Additional Exercise,4,7,0.9537155032157898,0.9049236178398132,0.15712502598762512,0.2901439368724823
Additional Exercise,4,8,0.9617834687232971,0.8981324434280396,0.1253487765789032,0.2761693596839905
Additional Exercise,4,9,0.9723991751670837,0.9049236178398132,0.09000743180513382,0.29508328437805176
Additional Exercise,4,10,0.9834395051002502,0.9066213965415955,0.0699252188205719,0.26726412773132324
Additional Exercise,5,1,0.43421053886413574,0.8095238208770752,2.120968818664551,0.8657997250556946
Additional Exercise,5,2,0.759337842464447,0.8452380895614624,0.8270176649093628,0.49381738901138306
Additional Exercise,5,3,0.8518675565719604,0.884353756904602,0.497394859790802,0.3826284110546112
Additional Exercise,5,4,0.8994057774543762,0.8571428656578064,0.34023457765579224,0.4122055172920227
Additional Exercise,5,5,0.9223259687423706,0.9081632494926453,0.24845176935195923,0.305798202753067
Additional Exercise,5,6,0.9439728260040283,0.8860543966293335,0.197663351893425,0.3421442210674286
