Configuration,Fold,Best Validation Accuracy (%),Best Epoch,Final Training Accuracy (%),Final Validation Accuracy (%),Final Training Loss,Final Validation Loss
Baseline,1,92.52971410751343,5,98.30148816108704,92.52971410751343,0.08070750534534454,0.27311915159225464
Baseline,2,89.64346647262573,4,98.59872460365295,88.96434903144836,0.08051671087741852,0.30973923206329346
Baseline,3,92.52971410751343,5,97.74947166442871,92.52971410751343,0.09041233360767365,0.25160709023475647
Baseline,4,93.37860941886902,4,97.83439636230469,93.0390477180481,0.09181900322437286,0.23453295230865479
Baseline,5,91.32652878761292,4,97.83531427383423,90.47619104385376,0.08956800401210785,0.30838003754615784
Fine Tuned,1,87.77589201927185,3,97.19745516777039,87.09677457809448,0.09750141203403473,0.39477846026420593
Fine Tuned,2,88.45500946044922,5,96.90021276473999,88.45500946044922,0.10441014915704727,0.3653186857700348
Fine Tuned,3,89.81324434280396,5,97.83439636230469,89.81324434280396,0.09130620956420898,0.3086487352848053
Fine Tuned,4,89.98302221298218,5,97.07006216049194,89.98302221298218,0.10125643014907837,0.3215188980102539
Fine Tuned,5,89.96598720550537,4,97.32597470283508,88.26530575752258,0.09879347681999207,0.37303292751312256
